audio_stop_number,object_id,title,media_url,in_gallery_version,stop_type
370,2540,"Japan, Landscape, 18th C",p370.mp3,1,quick
370,5613,"Kaioku, Autumn Thoughts on a Garden Landscape",p370.mp3,1,quick
371,4362,"Kuba, Itwomba",p371.mp3,1,quick
372,3053,"Paul Manship, Flight of Night",p372.mp3,1,quick
373,2570,"Vigee-Le Brun, Portrait of Countess Bucquoi, nee Parr",p373.mp3,1,quick
374,1820,"N.C. Wyeth, Rural Delivery",p374.mp3,1,quick
375,1850,"Vasari, Six Tuscan Poets",p375.mp3,1,quick
376,547,"Master of the Legend of St. Lucy",p376.mp3,1,quick
377,486,"Thomas Sully, Portrait of George Washington",p377.mp3,1,quick
378,1613,"Castiglione, The Immaculate Conception",p378.mp3,1,quick
379,,"Modigliani, Little Servant Girl",p379.mp3,1,quick
380,2242,"Dix, Little Girl",p380.mp3,1,quick
381,577,"Eakins, Portrait of Elizabeth L. Burton",p381.mp3,1,quick
382,2280,"Debat-Ponsan, Love Dies in Time",p382.mp3,1,quick
383,60587,"Dickert, Flintlock Rifle",p383.mp3,1,quick
384,2245,"Boucher, St. John the Baptist",p384.mp3,1,quick
385,1429,"Derain, St. Paul's Cathedral",p385.mp3,1,quick
386,1315,"Germany, Aquamanile",p386.mp3,1,quick
387,6827,"Powderhorn",p387.mp3,1,quick
388,14148,"Germany, Armor",p388.mp3,1,quick
389,3058,"Braque, The Viaduct at L'Estaque",p389.mp3,1,quick
390,1162,"Matisse, Boy with a Butterfly Net",p390.mp3,1,quick
391,1639,"Kandinsky, Study for Improvisation V",p391.mp3,1,quick
392,2724,"Kirchner, Dance Training",p392.mp3,1,quick
393,1271,"Kirchner, Modern Bohemia",p393.mp3,1,quick
395,30704,"Evans, Sewing Box",p395.mp3,1,quick
396,2202,"Evans, A Miner's Home",p396.mp3,1,quick
397,10670,"Evans, Roadside Stand",p397.mp3,1,quick
398,3283,"Stieglitz, The Steerage",p398.mp3,1,quick
399,10526,"Fassbender, The White Night",p399.mp3,1,quick
400,4383,"Lange, Migrant Mother",p400.mp3,1,quick
402,9049,"Pendant Representing an Eagle",p402.mp3,1,quick
403,673,"Nazca, Double-Spout Vessel",p403.mp3,1,quick
404,759,"Maya, Whistle in Form of a Dignitary",p404.mp3,1,quick
405,5487,"Maya, Chocolate Pot",p405.mp3,1,quick
407,72225,"Tutsi, Basket",p407.mp3,1,quick
408,,"Bassa, Most Generous Woman Spoon",p408.mp3,1,quick
409,3183,"Djenne, Equestrian Figure",p409.mp3,1,quick
410,1938,"Guro, Mask",p410.mp3,1,quick
411,12111,"Zulu, Beer Pot",p411.mp3,1,quick
412,136,"St. Catherine",p412.mp3,1,quick
413,3723,"Norway, Tankard",p413.mp3,1,quick
414,1371,"Paolozzi, Little King",p414.mp3,1,quick
415,3492,"Palagi, Armchair",p415.mp3,1,quick
417,9960,"Bugatti, Two-Fold Screen",p417.mp3,1,quick
418,2803,"Jacob, Armchair",p418.mp3,1,quick
419,,"Ostrich Egg Cup & Cover",p419.mp3,1,quick
420,2279,"Gilbert, Kiss of Victory",p420.mp3,1,quick
421,60232,"Katz, The Adoration of the Magi",p421.mp3,1,quick
422,5779,"Gatti, Coffer",p422.mp3,1,quick
423,45256,"Pair of Armoires",p423.mp3,1,quick
424,13020,"Jaccard, Presentation Pitcher",p424.mp3,1,quick
425,3979,"Redwood Glass Works, Pitcher",p425.mp3,1,quick
426,1217,"Powers, Bust of George Washington",p426.mp3,1,quick
427,3051,"Ceremonial Skirt",p427.mp3,1,quick
429,,"20th Century Fiber Sculpture Panel",p429.mp3,1,quick
434,,"North African Textiles Panel (2 quickstops #'s)",p434.mp3,1,quick
439,109,"Esther & Ahaseurus (15th -18th C European Tapestries overview)",p439.mp3,1,quick
439,521,"End of the Hunt (15th -18th C European Tapestries overview)",p439.mp3,1,quick
439,776,"Queen Distributing the Booty",p439.mp3,1,quick
447,31441,"Yaka Headrest",p447.mp3,1,quick
448,,"Kwaku, A Six Figure Benpo",p448.mp3,1,quick
449,,"Luba Kabila",p449.mp3,1,quick
450,3633,"Chokwe, Throne",p450.mp3,1,quick
452,2805,"Wood, Birthplace of Herbert Hoover",p452.mp3,1,quick
453,689,"Peto, Reminesences of 1865",p453.mp3,1,quick
454,1689,"Manet, The Smoker",p454.mp3,1,quick
455,774,"Degas, Portrait of Mlle. Hortense V.",p455.mp3,1,quick
456,1509,"Sargent,  The Birthday Party",p456.mp3,1,quick
458,1883,"Senfo, Seated Figure",p458.mp3,1,quick
459,11838,"Davidson, East 100th Street",p459.mp3,1,quick
460,4487,"Rothstein, Dust Storm",p460.mp3,1,quick
461,10632,"Cartier-Bresson, On the Banks of the Marne",p461.mp3,1,quick
462,4976,"Wu Reception Hall Folding Screen",p462.mp3,1,quick
463,1224,"Kirchner, Seated Girl (Franzi Fehrmann)",p463.mp3,1,quick
464,1627,"Balthus, The Living Room",p464.mp3,1,quick
465,1471,"Guercino, Erminia and the Shepherds",p465.mp3,1,quick
466,278,"El Greco, Christ Driving the Money Changers",p466.mp3,1,quick
467,12830,"Dessoir, Etagere",p467.mp3,1,quick
468,1935,"Powers, Bust of Greek Slave",p468.mp3,1,quick
469,4395,"Biemann, Covered Goblet",p469.mp3,1,quick
470,167,"Meads & Alvord, Desk and Bookcase",p470.mp3,1,quick
471,2901,"Tiffany, Pitcher",p471.mp3,1,quick
472,1369,"Stettheimer, Portrait of our Nurse",p472.mp3,1,quick
473,546,"Wright, Portrait of Dorothy Beridge",p473.mp3,1,quick
474,773,"Leger, Tble and Fruit",p474.mp3,1,quick
475,3266,"Monet, Still Life of Pheasant and Plovers",p475.mp3,1,quick
476,1274,"Brancusi, Golden Bird",p476.mp3,1,quick
477,1331,"Relli, Trial",p477.mp3,1,quick
478,1784,"Costa, Portrait of a Cardinal in His Study",p478.mp3,1,quick
479,1851,"Parrish, Dream Castle in the Sky",p479.mp3,1,quick
480,,"Minor White",p480.mp3,1,quick
481,,"Julia Margaret Cameron",p481.mp3,1,quick
482,,"Frances Frith",p482.mp3,1,quick
483,,"Eugene Atget",p483.mp3,1,quick
484,,"August Sander",p484.mp3,1,quick
485,,"Edward Weston",p485.mp3,1,quick
486,,"D.J. Ruzicka",p486.mp3,1,quick
487,,"Robert Frank",p487.mp3,1,quick
488,1987,"Lee Freelander",p488.mp3,1,quick
489,,"Bernice Abbott",p489.mp3,1,quick
490,,"Ansel Adams",p490.mp3,1,quick
491,,"Diane Arbus",p491.mp3,1,quick
492,,"Richard Avedon",p492.mp3,1,quick
493,,"Ruth Bernhardt",p493.mp3,1,quick
494,,"Consuelo Kanaga",p494.mp3,1,quick
495,,"Arnold Newman",p495.mp3,1,quick
496,,"Gordon Parks",p496.mp3,1,quick
497,,"Helen Levitt",p497.mp3,1,quick
498,,"Gilles Peress",p498.mp3,1,quick
499,3346,"Goblet",p499.mp3,1,quick
503,,"Snake Jug - Whiskey Jug with snakes",p503.mp3,1,quick
504,89293,"Lux, Presentation Plate, Cup and Saucer",p504.mp3,1,quick
505,19376,"Grecian Style Wardrobe",p505.mp3,1,quick
506,91482,"Gevekki Dance Mask",p506.mp3,1,quick
507,95061,"Ceremonial Bowl - 2 birds - Feast Bowl",p507.mp3,1,quick
508,95059,"Bird Head Club from New Caldona",p508.mp3,1,quick
509,89938,"Abalam, Ancestor wall decoration",p509.mp3,1,quick
510,5894,"Abalam, Helmet Yam Mask",p510.mp3,1,quick
511,1926,"Moiai Kava Kava",p511.mp3,1,quick
512,1819,"Wyeth, Bronco Buster",p512.mp3,1,quick
513,1822,"Goodwin, A Bear Chance",p513.mp3,1,quick
514,1263,"Barye, Theseus Slaying a Centaur",p514.mp3,1,quick
515,1626,"Vernet, Imaginary Italian Harbor Scene",p515.mp3,1,quick
516,516,"Robert, The Rustic Bridge",p516.mp3,1,quick
517,135,"Fontainbleau Oaks",p517.mp3,1,quick
518,4191,"Fontainbleau Forest",p518.mp3,1,quick
519,2624,"Daubigny, Landscape near Cremieu",p519.mp3,1,quick
521,548,"Jean Clouet the Younger, Princess Charlotte of France",p521.mp3,1,quick
523,1566,"Garnier, The Poorly Defended Rose",p523.mp3,1,quick
523,1567,"Garnier, The Letter",p523.mp3,1,quick
524,1576,"Diaz, Forest Interior with Wood Gatherer",p524.mp3,1,quick
526,803,"Fournier, Lowry Hill, Minneapolis",p526.mp3,1,quick
527,750,"Fournier, Mill Pond at Minneapolis",p527.mp3,1,quick
528,688,"Fournier, Farnham's Old Mill at St. Anthony Falls",p528.mp3,1,quick
529,770,"Lewis, Cheever's Mill on St. Croix River",p529.mp3,1,quick
530,767,"Lewis, Gorge of the St. Croix",p530.mp3,1,quick
532,61,"Cole, Landscape",p532.mp3,1,quick
533,2762,"Richards, Quiet Seascape",p533.mp3,1,quick
534,1737,"Roesen, Still Life with Fruit",p534.mp3,1,quick
535,1694,"Moran, Scene on the Tohickon Creek, Autumn",p535.mp3,1,quick
536,5683,"Nichols, The Twins",p536.mp3,1,quick
537,1543,"Knight, Girl by a Stream, Flanders",p537.mp3,1,quick
538,1605,"Gauffier, Thomas Penrose",p538.mp3,1,quick
539,4397,"Boisselier, View of Colosseum from Orti Farnesiani",p539.mp3,1,quick
540,60161,"Fragonard, The Grand Staircase of the Villa atTivoli",p540.mp3,1,quick
541,5748,"Michallon, The Fallen Branch, Fountainebleau",p541.mp3,1,quick
542,3321,"Russell, The Death Song of Lone Wolf",p542.mp3,1,quick
543,2759,"Russell, The Signal Fire",p543.mp3,1,quick
544,3162,"Russell, Buffalo Hunt",p544.mp3,1,quick
545,,"19th Century",p545.mp3,1,quick
546,11947,"Bologna, La Fiorenza",p546.mp3,1,quick
547,,"Rococo Definition",p547.mp3,1,quick
548,1244,"Moore, Warrior with Sheild",p548.mp3,1,quick
549,9413,"Wu Reception Hall Ancestors (when installed as such)",p549.mp3,1,quick
550,45837,"Wu Reception Hall Round Stool",p550.mp3,1,quick
550,5810,"Wu Reception Hall Couch Bed",p550.mp3,1,quick
550,,"Wu Reception Hall Yoke Back Armchair",p550.mp3,1,quick
552,5756,"Seydou Keita",p552.mp3,1,quick
553,13621,"Man's shoulder pouch",p553.mp3,1,quick
554,59773,"Comb with Crane Symbols",p554.mp3,1,quick
555,13141,"Girl's Dress -  Southern plains style",p555.mp3,1,quick
556,5927,"Hanta-po (get out of the way)",p556.mp3,1,quick
557,5543,"Miniature Gunstock war Club",p557.mp3,1,quick
558,3889,"Pipe Bowl",p558.mp3,1,quick
559,,"Female Doll",p559.mp3,1,quick
560,2090,"Man Doll",p560.mp3,1,quick
561,4958,"4 Ladles, Seneca",p561.mp3,1,quick
561,3890,"4 Ladles, Seneca",p561.mp3,1,quick
561,3891,"4 Ladles, Seneca",p561.mp3,1,quick
561,4468,"4 Ladles, Seneca",p561.mp3,1,quick
562,,"Birch Bark Bitten Patterns, Ojibwe",p562.mp3,1,quick
563,4709,"Old Bull, Winter Horse Raid, Muslin Painting",p563.mp3,1,quick
564,3895,"Animal Head Bowl",p564.mp3,1,quick
565,4314,"Crane Head Ladle, Lakota",p565.mp3,1,quick
566,,"Leggings, Lakota",p566.mp3,1,quick
567,2104,"Vest, Lakota",p567.mp3,1,quick
568,3257,"Todd Webb",p568.mp3,1,quick
569,81596,"Porcelain Plate w. Eagle & Fort Snelling",p569.mp3,1,quick
570,,"Frank Lloyd Wright Dining Table and Chairs",p570.mp3,1,quick
571,30767,"Skylight from Madison State Bank",p571.mp3,1,quick
572,5741,"Gates, Monumental Vase",p572.mp3,1,quick
573,1633,"Epstein, Female Figure",p573.mp3,1,quick
574,4523,"Kapkap",p574.mp3,1,quick
575,51803,"Prestige Bowl",p575.mp3,1,quick
576,12133,"Bull Roarer",p576.mp3,1,quick
577,83923,"Sulka Dance Mask",p577.mp3,1,quick
579,9920,"Maori House Panel",p579.mp3,1,quick
581,12134,"Zen Rock Garden",p581.mp3,1,quick
581,12134,"Zen Rock Garden",p581.mp3,1,quick
582,2031,"Tristan, The Holy Family",p582.mp3,1,quick
583,3632,"Di Bonaventuea, Madonna and Child",p583.mp3,1,quick
584,1679,"di Cione, Standing Madonna and Child",p584.mp3,1,quick
585,1588,"Cortona, Portrait of Cardinal Pietro Maria Borghese",p585.mp3,1,quick
586,5548,"Tonga Club",p586.mp3,1,quick
587,83909,"Fiji club",p587.mp3,1,quick
588,5877,"Stilt step",p588.mp3,1,quick
590,1650,"Gope Board",p590.mp3,1,quick
591,2138,"Bis Pole, Asmat",p591.mp3,1,quick
592,,"Pipe Bowl, Mississippian",p592.mp3,1,quick
593,46506,"Birdstone. Mississippian",p593.mp3,1,quick
594,89890,"Bowl, Hohokam",p594.mp3,1,quick
595,84304,"Leopard Pendant, Benin",p595.mp3,1,quick
596,89618,"Ancestral Post, Yoruba",p596.mp3,1,quick
